file,anger,disgust,fear,happiness,sadness,surprise,neutral
S6_disgust.mp4,95.24,0.00,0.00,0.00,4.76,0.00,0.00
S6_disgust.mp4,34.78,17.39,4.35,0.00,17.39,0.00,26.09
S2_surprise_4.mp4,0.00,0.00,0.00,0.00,0.00,34.88,65.12
S2_surprise_4.mp4,4.35,8.70,13.04,4.35,0.00,60.87,8.70
S2_sad.mp4,0.00,0.00,0.00,0.00,0.44,0.00,99.56
S2_sad.mp4,4.35,0.00,8.70,0.00,47.83,0.00,39.13
S7_surprise_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S7_surprise_1.mp4,8.70,13.04,8.70,8.70,0.00,52.17,8.70
S2_happy.mp4,1.02,0.00,2.04,16.33,3.06,0.00,77.55
S2_happy.mp4,4.35,17.39,0.00,52.17,0.00,0.00,26.09
S4_happy_8.mp4,0.00,0.00,0.00,96.12,0.00,0.00,3.88
S4_happy_8.mp4,4.35,0.00,0.00,95.65,0.00,0.00,0.00
S1_surprise_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_surprise_1.mp4,8.70,8.70,21.74,0.00,0.00,56.52,4.35
S2_fear_1.mp4,0.00,0.00,0.00,27.50,45.00,0.00,27.50
S2_fear_1.mp4,0.00,95.65,4.35,0.00,0.00,0.00,0.00
S2_fear_2.mp4,0.00,0.00,0.00,2.80,68.53,0.00,28.67
S2_fear_2.mp4,0.00,17.39,30.43,17.39,0.00,34.78,0.00
S2_fear_surprise.mp4,1.21,0.00,0.00,0.00,9.70,0.00,89.09
S2_fear_surprise.mp4,0.00,0.00,56.52,0.00,0.00,43.48,0.00
S4_happy_6.mp4,0.00,0.00,0.00,99.20,0.00,0.00,0.80
S4_happy_6.mp4,0.00,0.00,4.35,65.22,13.04,8.70,8.70
S4_happy.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S4_happy.mp4,0.00,0.00,0.00,95.65,4.35,0.00,0.00
S5_sad.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S5_sad.mp4,47.83,13.04,4.35,0.00,21.74,0.00,13.04
S2_happy_1.mp4,8.00,0.00,0.00,20.00,0.80,0.00,71.20
S2_happy_1.mp4,0.00,47.83,4.35,21.74,0.00,21.74,4.35
S1_surprise_2.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_surprise_2.mp4,0.00,17.39,21.74,0.00,8.70,34.78,17.39
S6_surprise.mp4,95.35,0.00,0.00,0.00,4.65,0.00,0.00
S6_surprise.mp4,4.35,0.00,0.00,0.00,0.00,86.96,8.70
S3_fear.mp4,0.00,0.00,0.00,0.00,4.00,0.00,96.00
S3_fear.mp4,4.35,0.00,52.17,4.35,26.09,0.00,13.04
S3_surprise_3.mp4,0.00,0.00,0.00,0.00,25.71,17.14,57.14
S3_surprise_3.mp4,13.04,8.70,8.70,0.00,8.70,34.78,26.09
S6_happy.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S6_happy.mp4,0.00,0.00,17.39,39.13,4.35,0.00,39.13
S1_fear_surprise_4.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_fear_surprise_4.mp4,8.70,0.00,73.91,0.00,0.00,17.39,0.00
S4_sad.mp4,0.00,0.00,0.00,0.00,2.07,0.00,97.93
S4_sad.mp4,56.52,13.04,4.35,0.00,4.35,4.35,17.39
S7_happy_surprise_1.mp4,0.00,0.00,2.84,72.73,3.98,16.48,3.98
S7_happy_surprise_1.mp4,0.00,4.35,0.00,65.22,0.00,30.43,0.00
S3_surprise_4.mp4,10.43,0.00,0.00,0.00,1.30,5.65,82.61
S3_surprise_4.mp4,0.00,0.00,21.74,0.00,4.35,69.57,4.35
S7_surprise_3.mp4,1.03,0.00,3.09,43.30,0.00,0.00,52.58
S7_surprise_3.mp4,0.00,0.00,0.00,60.87,0.00,39.13,0.00
S6_happy_3.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S6_happy_3.mp4,0.00,0.00,21.74,65.22,0.00,8.70,4.35
S2_surprise_6.mp4,0.00,0.00,0.00,0.00,1.94,0.00,98.06
S2_surprise_6.mp4,4.35,0.00,13.04,0.00,0.00,78.26,4.35
S5_surprise_3.mp4,95.24,0.00,0.00,0.00,3.17,0.00,1.59
S5_surprise_3.mp4,34.78,4.35,4.35,0.00,0.00,39.13,17.39
S6_happy_5.mp4,92.86,0.00,0.00,0.00,7.14,0.00,0.00
S6_happy_5.mp4,0.00,0.00,4.35,78.26,13.04,0.00,4.35
S5_surprise_6.mp4,69.84,0.00,0.00,0.00,7.94,0.00,22.22
S5_surprise_6.mp4,4.35,0.00,4.35,0.00,0.00,82.61,8.70
S2_surprise_2.mp4,0.00,0.00,0.00,0.00,78.57,0.00,21.43
S2_surprise_2.mp4,0.00,0.00,4.35,4.35,0.00,91.30,0.00
S4_fear_5.mp4,0.00,0.00,0.00,0.00,1.06,0.00,98.94
S4_fear_5.mp4,17.39,4.35,34.78,0.00,21.74,4.35,17.39
S7_fear.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S7_fear.mp4,4.35,17.39,52.17,0.00,0.00,21.74,4.35
S7_happy_1.mp4,0.00,0.00,0.00,43.65,0.00,0.00,56.35
S7_happy_1.mp4,0.00,4.35,0.00,91.30,0.00,0.00,4.35
S6_surprise_1.mp4,96.83,0.00,0.00,0.00,3.17,0.00,0.00
S6_surprise_1.mp4,0.00,4.35,8.70,0.00,0.00,78.26,8.70
