file,anger,disgust,fear,happiness,sadness,surprise,neutral
S6_happy.mp4,0.00,0.00,0.00,8.33,0.00,66.67,25.00
S6_happy.mp4,0.00,0.00,17.39,39.13,4.35,0.00,39.13
S1_happy_5.mp4,0.00,0.00,0.00,66.67,0.00,0.00,33.33
S1_happy_5.mp4,0.00,0.00,0.00,95.65,0.00,4.35,0.00
S1_surprise_3.mp4,18.75,0.00,25.00,0.00,0.00,50.00,6.25
S1_surprise_3.mp4,4.35,0.00,30.43,0.00,0.00,65.22,0.00
S5_surprise_5.mp4,50.00,0.00,0.00,0.00,0.00,0.00,50.00
S5_surprise_5.mp4,13.04,8.70,13.04,0.00,0.00,65.22,0.00
S3_happy_3.mp4,8.82,0.00,0.00,73.53,0.00,8.82,8.82
S3_happy_3.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S6_happy_4.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S6_happy_4.mp4,0.00,0.00,8.70,73.91,13.04,0.00,4.35
S3_surprise_4.mp4,47.62,0.00,16.67,0.00,0.00,28.57,7.14
S3_surprise_4.mp4,0.00,0.00,21.74,0.00,4.35,69.57,4.35
S7_happy_4.mp4,0.00,0.00,0.00,73.33,0.00,0.00,26.67
S7_happy_4.mp4,0.00,0.00,0.00,73.91,0.00,26.09,0.00
S1_surprise_4.mp4,15.38,0.00,23.08,0.00,0.00,38.46,23.08
S1_surprise_4.mp4,0.00,4.35,8.70,0.00,0.00,86.96,0.00
S3_surprise_1.mp4,38.46,0.00,53.85,0.00,7.69,0.00,0.00
S3_surprise_1.mp4,4.35,0.00,39.13,0.00,30.43,17.39,8.70
S4_happy_1.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S4_happy_1.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S2_fear_3.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_fear_3.mp4,4.35,8.70,60.87,0.00,0.00,26.09,0.00
S1_fear_surprise_2.mp4,5.00,0.00,30.00,0.00,0.00,0.00,65.00
S1_fear_surprise_2.mp4,4.35,0.00,52.17,0.00,0.00,39.13,4.35
S6_surprise.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S6_surprise.mp4,4.35,0.00,0.00,0.00,0.00,86.96,8.70
S2_fear_surprise.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_fear_surprise.mp4,0.00,0.00,56.52,0.00,0.00,43.48,0.00
S1_happy_1.mp4,0.00,0.00,0.00,69.70,0.00,0.00,30.30
S1_happy_1.mp4,0.00,0.00,0.00,95.65,0.00,4.35,0.00
S5_surprise_3.mp4,88.89,0.00,0.00,0.00,0.00,0.00,11.11
S5_surprise_3.mp4,34.78,4.35,4.35,0.00,0.00,39.13,17.39
S5_sad.mp4,2.94,0.00,0.00,0.00,0.00,0.00,97.06
S5_sad.mp4,47.83,13.04,4.35,0.00,21.74,0.00,13.04
S2_happy_1.mp4,0.00,0.00,0.00,57.14,0.00,0.00,42.86
S2_happy_1.mp4,0.00,47.83,4.35,21.74,0.00,21.74,4.35
S7_sad_1.mp4,69.70,0.00,0.00,0.00,0.00,0.00,30.30
S7_sad_1.mp4,17.39,4.35,4.35,0.00,69.57,0.00,4.35
S1_surprise_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_surprise_1.mp4,8.70,8.70,21.74,0.00,0.00,56.52,4.35
S7_happy_surprise_2.mp4,0.00,0.00,0.00,81.82,0.00,0.00,18.18
S7_happy_surprise_2.mp4,0.00,0.00,4.35,43.48,0.00,52.17,0.00
S7_happy_1.mp4,0.00,0.00,0.00,68.18,0.00,0.00,31.82
S7_happy_1.mp4,0.00,4.35,0.00,91.30,0.00,0.00,4.35
S2_happy.mp4,0.00,6.25,0.00,43.75,0.00,0.00,50.00
S2_happy.mp4,4.35,17.39,0.00,52.17,0.00,0.00,26.09
S2_surprise_4.mp4,0.00,0.00,0.00,0.00,0.00,100.00,0.00
S2_surprise_4.mp4,4.35,8.70,13.04,4.35,0.00,60.87,8.70
S4_fear_4.mp4,7.69,0.00,0.00,7.69,0.00,0.00,84.62
S4_fear_4.mp4,0.00,0.00,21.74,4.35,13.04,0.00,60.87
S5_disgust.mp4,0.00,0.00,0.00,15.38,0.00,0.00,84.62
S5_disgust.mp4,4.35,60.87,30.43,4.35,0.00,0.00,0.00
S4_happy_8.mp4,0.00,0.00,0.00,94.12,0.00,0.00,5.88
S4_happy_8.mp4,4.35,0.00,0.00,95.65,0.00,0.00,0.00
S4_happy.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S4_happy.mp4,0.00,0.00,0.00,95.65,4.35,0.00,0.00
S6_happy_5.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S6_happy_5.mp4,0.00,0.00,4.35,78.26,13.04,0.00,4.35
S4_happy_10.mp4,0.00,0.00,0.00,76.92,0.00,0.00,23.08
S4_happy_10.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S7_surprise_1.mp4,0.00,0.00,0.00,50.00,0.00,0.00,50.00
S7_surprise_1.mp4,8.70,13.04,8.70,8.70,0.00,52.17,8.70
S4_sad.mp4,32.00,0.00,0.00,0.00,0.00,0.00,68.00
S4_sad.mp4,56.52,13.04,4.35,0.00,4.35,4.35,17.39
S6_sad_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S6_sad_1.mp4,0.00,8.70,4.35,0.00,86.96,0.00,0.00
S3_happy_1.mp4,55.56,0.00,0.00,0.00,0.00,0.00,44.44
S3_happy_1.mp4,0.00,0.00,17.39,26.09,30.43,4.35,21.74
S2_surprise_6.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_surprise_6.mp4,4.35,0.00,13.04,0.00,0.00,78.26,4.35
S1_happy_2.mp4,0.00,0.00,0.00,80.00,0.00,0.00,20.00
S1_happy_2.mp4,0.00,4.35,8.70,78.26,0.00,4.35,4.35
S7_surprise_3.mp4,0.00,0.00,0.00,75.00,0.00,0.00,25.00
S7_surprise_3.mp4,0.00,0.00,0.00,60.87,0.00,39.13,0.00
S4_happy_7.mp4,0.00,0.00,0.00,60.00,0.00,0.00,40.00
S4_happy_7.mp4,0.00,0.00,8.70,56.52,17.39,4.35,13.04
S1_sad_1.avi,63.89,0.00,0.00,0.00,5.56,0.00,30.56
S1_sad_1.avi,69.57,0.00,17.39,0.00,0.00,0.00,13.04
S5_surprise_4.mp4,29.41,0.00,0.00,0.00,0.00,0.00,70.59
S5_surprise_4.mp4,34.78,4.35,13.04,0.00,4.35,21.74,21.74
S1_disgust_1.mp4,2.78,8.33,8.33,11.11,0.00,0.00,69.44
S1_disgust_1.mp4,0.00,95.65,4.35,0.00,0.00,0.00,0.00
S3_sad_2.mp4,5.88,0.00,0.00,0.00,0.00,58.82,35.29
S3_sad_2.mp4,4.35,8.70,21.74,0.00,30.43,8.70,26.09
S2_fear_2.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_fear_2.mp4,0.00,17.39,30.43,17.39,0.00,34.78,0.00
S1_disgust_2.mp4,0.00,7.69,42.31,19.23,0.00,0.00,30.77
S1_disgust_2.mp4,4.35,91.30,4.35,0.00,0.00,0.00,0.00
S4_fear_6.mp4,75.00,5.26,10.53,0.00,0.00,0.00,9.21
S4_fear_6.mp4,8.70,8.70,34.78,0.00,0.00,4.35,43.48
S2_sad.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_sad.mp4,4.35,0.00,8.70,0.00,47.83,0.00,39.13
S5_surprise_2.mp4,44.44,0.00,0.00,0.00,0.00,0.00,55.56
S5_surprise_2.mp4,26.09,4.35,13.04,0.00,0.00,43.48,13.04
S5_surprise.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
